Xiaomi Mi 10T Pro 5G 8GB-128GB (No.00729072),10.490.000₫,"256GB
11.540.000₫
128GB
10.490.000₫","6.67"", FHD+, IPS LCD, 2440 x 1080 Pixel
108.0 MP + 13.0 MP + 5.0 MP
20.0 MP
Snapdragon 865
128 GB","Giảm ngay 1.500.000đ khi mua Online áp dụng đến 21/09
Trả góp 0%
Bảo hành 24 tháng
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Gói bảo hành rơi vỡ màn hình 1 lần trong 6 tháng Xem chi tiết
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","3 đánh giá
|
0 Hỏi & đáp"
Realme 8 Pro 8GB - 128GB (No.00750540),8.390.000₫,,"6.4"", FHD+, Super AMOLED, 1080 x 2400 Pixel
108.0 MP + 8.0 MP + 2.0 MP + 2.0 MP
16.0 MP
Snapdragon 720G
128 GB","Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
0 Hỏi & đáp"
Xiaomi Redmi K40 Pro (No.00488),Het Hang
Samsung Galaxy A12 4GB-128GB (No.00725256),3.899.000₫,,"6.5"", HD+, TFT LCD, 720 x 1600 Pixel
48.0 MP + 5.0 MP + 2.0 MP + 2.0 MP
8.0 MP
Helio G35
128 GB","Giảm ngay 400.000đ áp dụng đến 24/09
Trả góp 0%
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","7 đánh giá
|
0 Hỏi & đáp"
Nokia 9.3 PureView (No.00263),Het Hang
Vivo Nex 3 (No.00075),Het Hang
Vivo V21 5G 8GB - 128GB (No.00751241),9.490.000₫,,"6.44"", FHD+, AMOLED, 2404 x 1080 Pixel
64.0 MP + 8.0 MP + 2.0 MP
44.0 MP
MediaTek Dimensity 800U
128 GB","Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
0 Hỏi & đáp"
Realme 7 5G (No.00491),Het Hang
Xiaomi Black Shark 3 (No.00172),Het Hang
Microsoft Surface Duo (No.00306),Het Hang
U,n,k,n,o,w,n
Huawei Mate 30 (No.00079),Het Hang
Vivo Y1s 2GB-32GB (No.00701495),2.450.000₫,,"6.22"", HD+, IPS LCD, 720 x 1520 Pixel
13.0 MP
5.0 MP
MediaTek Helio P35
32 GB",Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết,"1 đánh giá
|
0 Hỏi & đáp"
U,n,k,n,o,w,n
Nokia 5310 (2020) (No.00676228),1.000.000₫,,"2.4"", QVGA, TFT, 320 x 240 Pixel
0.3 MP
4 MB",Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết,"42 đánh giá
|
159 Hỏi & đáp"
LG Stylo 6 (No.00312),Het Hang
OPPO Reno6 Z 5G (No.00761060),9.490.000₫,,"6.43"", FHD+, AMOLED, 1080 x 2400 Pixel
64.0 MP + 8.0 MP + 2.0 MP
32.0 MP
MediaTek Dimensity 800U
128 GB","Bảo hành 2 năm
Trả góp 0%
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","3 đánh giá
|
147 Hỏi & đáp"
Huawei P30 Lite New Edition (No.00175),Het Hang
U,n,k,n,o,w,n
Samsung Galaxy A90 5G (No.00070),Het Hang
Realme C11 2GB-32GB (No.00701497),2.690.000₫,,"6.5"", HD+, IPS LCD, 720 x 1600 Pixel
13.0 MP + 2.0 MP
5.0 MP
Mediatek Helio G35
32 GB",Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết,"2 đánh giá
|
424 Hỏi & đáp"
Honor Play 3e (No.00030),Het Hang
Nokia 6.3 (No.00369),Het Hang
Honor V30 (No.00127),Het Hang
Xiaomi Redmi Note 9 Pro 5G (No.00474),Het Hang
Huawei Nova 7 SE 5G Youth (No.00444),Het Hang
