Laptop MSI Pulse GL66 11UDK 255VN i7 11800H/16GB/512GB/RTX3050 Ti 4GB/Win 10 (No.00764929),33.999.000₫,,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz
Intel Core i7-11800H
16 GB, DDR4, 3200 MHz
SSD 512 GB
NVIDIA® GeForce® RTX 3050 Ti 4GB","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","1 đánh giá
|
25 Hỏi & đáp"
"Laptop Dell Gaming G3 15 3500 i7 10750H/16GB/1TB HDD + 256GB SSD/15.6""FHD/VGA 1650Ti 4GB/Win 10 (No.00761226)",27.999.000₫,,"15.6"", 1920 x 1080 Pixel, WVA, 120 Hz, 250 nits, WVA Anti-glare LED Backlit Narrow Border
Intel Core i7-10750H
16 GB, DDR4, 2933 MHz
HDD 1000 GB & SSD 256 GB
GeForce GTX 1650Ti 4GB","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","1 đánh giá
|
0 Hỏi & đáp"
U,n,k,n,o,w,n
Laptop Asus VivoBook A515EA BQ489T i3 1115G4/4GB/512GB SSD/Win10 (No.00762454),15.599.000₫,,"15.6"", 1920 x 1080 Pixel, IPS, 250 nits, LED Backlit
Intel Core i3-1115G4
4 GB, DDR4, 3200 MHz
SSD 512 GB
Intel UHD Graphics","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","1 đánh giá
|
297 Hỏi & đáp"
"MacBook Pro 13"" 2020 Touch Bar M1 16GB/256GB (No.00731803)",39.999.000₫,"256GB
39.999.000₫
512GB
42.999.000₫","13.3"", 2560 x 1600 Pixel, IPS, IPS LCD LED Backlit, True Tone
Apple M1
16 GB, LPDDR4
SSD 256 GB
Apple M1","Tặng gói iCloud 50GB miễn phí 3 tháng Xem chi tiết
Mua kèm Apple Care tăng thêm 2 năm bảo hành chính hãng Xem chi tiết
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09
Giảm ngay 10% Magic Mouse 2 khi mua kèm MacBook
Tặng Balo sành điệu","3 đánh giá
|
0 Hỏi & đáp"
MSI GF63 9SCSR-1057VN i5 9300H/8GB/512GB SSD/Nvidia GTX1650Ti_4GB/Win10 (No.00711465),21.829.000₫,,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 300 nits, IPS LCD LED Backlit, True Tone
Intel Core i5-9300H
8 GB, DDR4, 2666 MHz
SSD 512 GB
GeForce GTX 1650 Ti 4GB","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09
Tặng Balo Gaming MSI","1 đánh giá
|
0 Hỏi & đáp"
"Laptop MSI Katana GF76 11UC 096VN i7 11800H/8GB/512GB/17.3""FHD/RTX3050 4Gb/Win 10 (No.00760885)",29.999.000₫,,"17.3"", 1920 x 1080 Pixel, IPS, 144 Hz
Intel Core i7-11800H
8 GB, DDR4, 3200 MHz
SSD 512 GB
NVIDIA® GeForce® RTX3050 4GB","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","1 đánh giá
|
0 Hỏi & đáp"
"Laptop HP Pavilion 14 dv0534TU i7 1165G7/8G/512G SSD/Iris Xe Graphics/14""FHD/Win 10 (No.00771118)",22.499.000₫,,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, 250 nits, LED Backlit
Intel Core i7-1165G7
8 GB, DDR4, 3200 MHz
SSD 512 GB
Intel Iris Xe Graphics","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","1 đánh giá
|
0 Hỏi & đáp"
Laptop Asus Vivobook A515EA-BN1360T i3 1115G4/8GB/256GB SSD/Win10 (No.00772469),16.199.000₫,,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, 300 nits, FHD
Intel Core i3-1115G4
8 GB, DDR4, 3200 MHz
SSD 256 GB
Intel UHD Graphics","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","1 đánh giá
|
0 Hỏi & đáp"
U,n,k,n,o,w,n
